lineup,stationId,name,channel,callSign,type,affiliateId,affiliateCallSign,bcastLangs,imageUri,imageHeight,imageWidth,imageCategory,signalType,videoType,truResolution
X-M3U,12444,,209,ESPN2,,,,,https://tmsimg.fancybits.co/assets/s12444_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,19620,,209,ESPNA,,,,,https://tmsimg.fancybits.co/assets/s10179_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,19621,,209,ESPN2A,,,,,https://tmsimg.fancybits.co/assets/s12444_h3_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,45507,,209,ESPN2HD,,,,,https://tmsimg.fancybits.co/assets/s45507_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,47216,,211,NFLRZ,,,,,https://tmsimg.fancybits.co/assets/s65024_ll_h9_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,65025,,211,NFLNRZD,,,,,https://tmsimg.fancybits.co/assets/s65025_ll_h9_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,34710,,212,NFLNET,,,,,https://tmsimg.fancybits.co/assets/s34710_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,45399,,212,NFLHD,,,,,https://tmsimg.fancybits.co/assets/s45399_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,62079,,213,MLBN,,,,,https://tmsimg.fancybits.co/assets/s62079_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,62081,,213,MLBHD,,,,,https://tmsimg.fancybits.co/assets/s62081_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,62083,,213,MLBNA,,,,,https://tmsimg.fancybits.co/assets/s62079_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,62085,,213,MLBHDA,,,,,https://tmsimg.fancybits.co/assets/s62081_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,61036,,214,RACERHD,,,,,https://tmsimg.fancybits.co/assets/s61036_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,58570,,215,NHLNET,,,,,https://tmsimg.fancybits.co/assets/s58570_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,58690,,215,NHLHD,,,,,https://tmsimg.fancybits.co/assets/s58690_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,32281,,216,NBATV,,,,,https://tmsimg.fancybits.co/assets/s32281_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,45526,,216,NBATVHD,,,,,https://tmsimg.fancybits.co/assets/s45526_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,33395,,217,TENNIS,,,,,https://tmsimg.fancybits.co/assets/s33395_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,60316,,217,TENISHD,,,,,https://tmsimg.fancybits.co/assets/s60316_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,14899,,218,GOLF,,,,,https://tmsimg.fancybits.co/assets/s14899_ll_h15_ad.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,61854,,218,GOLFHD,,,,,https://tmsimg.fancybits.co/assets/s61854_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,82541,,219,FS1,,,,,https://tmsimg.fancybits.co/assets/s82541_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,82547,,219,FS1HD,,,,,https://tmsimg.fancybits.co/assets/s82547_ll_h15_aa.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 720p
X-M3U,16365,,221,CBSSN,,,,,https://tmsimg.fancybits.co/assets/s16365_ll_h15_ae.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,59250,,221,CBSSNHD,,,,,https://tmsimg.fancybits.co/assets/s59250_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
X-M3U,59534,,222,DT222,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,70460,,223,DTVCSHP,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,63039,,224,DT224,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,62058,,225,DT225,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,56032,,226,SHOPLC,,,,,https://tmsimg.fancybits.co/assets/s56032_ll_h15_ac.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,62055,,227,DT227,,,,,sources/generic/generic_sources_h3.png,,,,Digital,SDTV,
X-M3U,26643,,228,GEMSSD,,,,,https://tmsimg.fancybits.co/assets/GNLZZGG0025V1KJ.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,14902,,229,HGTV,,,,,https://tmsimg.fancybits.co/assets/s14902_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,SDTV,
X-M3U,49788,,229,HGTVD,,,,,https://tmsimg.fancybits.co/assets/s49788_ll_h15_ab.png?w=360&h=270,270,360,Logo,Digital,HDTV,HD 1080i
